id;application_status;created_date_time;company_name;job_title;job_location;job_duration
1;SECOND_STAGE;2024-03-04T23:52:24;Grocery Electronics copying;Regional Accountability Facilitator;iterate Shirt;Progressive Jersey Hat
2;FIRST_STAGE;2024-03-05T08:48:24;Underpass;District Interactions Strategist;superstructure Markets e-tailers;wireless invoice overriding
3;SUBMITTED;2024-03-05T03:12:16;Bacon;Regional Marketing Analyst;Quality optical Kentucky;alarm seize
4;REJECTED;2024-03-04T21:45:39;invoice Identity;Central Program Manager;Frozen Account;input Route Mauritius
5;REJECTED;2024-03-05T12:47:46;Egyptian Pizza;Forward Usability Planner;Savings multi-byte Soap;interfaces
6;REJECTED;2024-03-05T10:49:23;auxiliary input invoice;Customer Intranet Specialist;Rubber;XML Plastic
7;REJECTED;2024-03-05T10:35:04;Idaho;Dynamic Web Strategist;Mexico intermediate;gold
8;FINAL_STAGE;2024-03-05T02:10:58;Advanced;Forward Security Director;Maryland Pre-emptive;challenge Licensed Handmade
9;FIRST_STAGE;2024-03-04T18:55:09;Rica;Forward Web Executive;Rubber;Computer transmitter Lebanese
10;SECOND_STAGE;2024-03-05T17:38:27;Universal bypassing;International Creative Producer;FTP;feed
