id;company_name;role;rating;review;recommend
1;Franc Team-oriented Nebraska;parallelism invoice;72169;payment;true
2;content;Nigeria Loan;2719;Hryvnia Bacon;true
3;connecting Bypass Sleek;wireless;32167;pixel Somali;false
4;support holistic;Frozen Lithuania Lesotho;78697;hard deliver;false
5;blue Dynamic;Granite Metal;36327;application;true
6;mission-critical;Human Creative SDD;26597;Account;false
7;Associate SQL;Cotton;31193;Architect incremental;false
8;XML Idaho;drive;75176;Sleek Rapids THX;false
9;Branding;Towels;61110;monitor schemas sensor;false
10;back Directives;back-end payment SDD;11307;Optimization Creative Colon;true
